id	filename	md5	size	state
1df6c842-cbf9-4e6a-a1c5-1292951c64b4	TARGET_AML_ClinicalData_LowDepthRNAseq_20220331.xlsx	cc537e6cf03880f093df479831c8a9d3	154685	validated
3c74fdeb-4d10-4cab-acb8-e041fa7c6ad1	TARGET_AML_ClinicalData_Validation_20211201.xlsx	98a7431292ab99a30a4ac38b4b2bf591	204320	validated
6b32dd77-93d7-468e-b337-3c04f5f80946	TARGET_AML_ClinicalData_AML1031_20211201.xlsx	221f4540386f37754d77b05337dad8a4	298351	validated
74e823e2-5ffb-43ec-824c-364030dee4dc	TARGET_AML_CDE_20181213.xlsx	fc5b42f89b1ac84699b8b10dafed02dc	27667	validated
a57182f2-6088-4c0c-b60b-c3f909be3a72	TARGET_ALL_CDE_Phase_III_20190129.xlsx	57b9d94f3194f3c2f89a3687db35691f	21769	validated
b524f6f8-32dd-4edc-abbf-ae55fe533a67	TARGET_ALL_ClinicalData_Phase_III_20210811.xlsx	533e75a92099c6137c8062aa444ca166	26068	validated
c07a64a0-7588-4653-95ef-982b41a1a804	nationwidechildrens.org_clinical_patient_laml.txt	81c01eb2a16e362d07077fb294ac3a34	313180	validated
cc8867bd-c974-4c33-83e2-7a5a8084ad02	TARGET_AML_ClinicalData_Discovery_20211201.xlsx	ff1cf1416410daff737c4307ba315a84	154035	validated
ccf17a35-9191-4fae-b2b5-f4cdb3f1045d	TARGET-AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20220330.xlsx	e9af2d4fb9f081a86eef9ea3eea2c514	44841	validated
f16dfbd6-132c-4d37-80af-357f721a1cea	TARGET_AML_ClinicalData_Discovery_and_Validation_Tumor_Content_and_RIN_Supplement_20180107.xlsx	dfdb6b32dff9e75d496b665cda8f74b7	28686	validated
