id	filename	md5	size	state
f5f6b5fd-2783-47ba-9f98-0514962da0b7	bf4c66ee-ca1d-4eb0-90c3-d12f1ad564fc.rna_seq.augmented_star_gene_counts.tsv	c93e80e3c3485debc048fea3e31f9971	4210277	validated
ec52c12a-6e5c-4ce9-a9bf-bb93b08aeebb	6926933b-2377-45ff-a16d-3db19b93e43d.rna_seq.augmented_star_gene_counts.tsv	46fe77008a4fa9a6ed7aeccfafdb6580	4249035	validated
c6022be7-5472-4ab1-9758-7323ea572b16	1f3f1508-4ad6-4d49-a724-14bedb1b8e49.rna_seq.augmented_star_gene_counts.tsv	e182beb71a64059423018082928820ec	4226007	validated
cdea69e8-8713-4d29-8150-361c14af8229	b4581e77-be58-458d-aacc-13cb0329b227.rna_seq.augmented_star_gene_counts.tsv	71db6c56385ced304bd270cfcd59f6bc	4222962	validated
f31bcea4-8273-4b71-a5ee-f5c4a2933b52	72974436-8a72-4f9b-ac39-dc68bcafc52e.rna_seq.augmented_star_gene_counts.tsv	569172ffddc9775db6637bac1aa337b0	4214429	validated
1049a3c6-5579-4fed-afb9-8c9ecadcd580	75cbe0dd-3f66-4c15-94c4-79c5c19e3c33.rna_seq.augmented_star_gene_counts.tsv	d8a6a6199966b29cbf4fd8a0b0f496eb	4221094	validated
c748f289-c966-4bde-85f9-a658b391f188	218dbff0-eff3-4042-a57a-9fc2816e0dce.rna_seq.augmented_star_gene_counts.tsv	d0460717936b5618c2d3fa2226ffb44c	4208483	validated
573fb1d8-551a-457f-84ec-e0034d7f33fc	183ec75b-f65c-43c9-b6ee-430ecf808eb4.rna_seq.augmented_star_gene_counts.tsv	6fadf61441b6145d6d8bd5c7d374c17e	4210524	validated
d8504530-a511-4dea-8005-cf127a2c4ae4	28bc7dc2-ec2e-4bb3-8092-b058c5bdf7ea.rna_seq.augmented_star_gene_counts.tsv	1fcafff21f3b5fab80d839f6955e5db5	4212744	validated
cded41c2-8ba0-4c17-82ba-05034d914161	53a6dae8-590b-46ff-a6c0-ba6fcc42c7da.rna_seq.augmented_star_gene_counts.tsv	68a5bd0bb5c998a3c8bbe7750e2898a3	4244006	validated
0ce779c5-3b41-45e9-a66b-bcb5e5e0eedb	5642b796-d7c3-4643-9bf5-772178bb35d0.rna_seq.augmented_star_gene_counts.tsv	b2b82596ff31150071959564f77d476f	4225283	validated
0eb75ae9-338d-4fcd-b556-c86a31f72000	e2374397-4770-4ae2-887b-b87ff15703ac.rna_seq.augmented_star_gene_counts.tsv	6836eee3b1e5ea8e88dd56a08d9092cc	4217026	validated
0a28c09e-ad50-4614-8040-43ae1bf68704	658fdfd0-ad91-48eb-9edb-49de811b3c93.rna_seq.augmented_star_gene_counts.tsv	9766132c4137c9b8306efbc3762635c9	4231748	validated
055c64c5-6a99-4dd7-adae-6daba1b06d3d	3827cfdb-899f-4bb1-ba2b-a05aee58c838.rna_seq.augmented_star_gene_counts.tsv	5d694a852d3be412b18e9e48d9922f14	4214260	validated
124f94a4-e358-42c7-b234-14ef939956b7	9c7a4cc9-b610-4d5f-8122-06c8a40a4df0.rna_seq.augmented_star_gene_counts.tsv	8c5cbd350cb81dcfd60e701b79de2f2c	4217032	validated
b44d2930-60c4-46cd-9621-cc1bf1293753	7ef4e6d0-5436-48a9-991a-00965c746f65.rna_seq.augmented_star_gene_counts.tsv	074db35911c99fd98a869fb2815fbf38	4215577	validated
fd13e9e9-dc48-440f-84b1-959128b05e77	f2e62f21-903a-4ec4-a375-961fe567739f.rna_seq.augmented_star_gene_counts.tsv	d0439026ddceaca05c1397587c83b11b	4173252	validated
cbb852e7-fc22-4126-82b2-59b81ecf8f3b	4e32ecd3-ac4b-424c-96e6-6cdbf1b07505.rna_seq.augmented_star_gene_counts.tsv	4bbd6f27f5f1041627218f50fb4b4a45	4211620	validated
